Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA3
2010-06-29,1.266667,1.666667,1.169333,1.592667,1.592667,281494500,,
2010-06-30,1.719333,2.028,1.553333,1.588667,1.588667,257806500,,
2010-07-01,1.666667,1.728,1.351333,1.464,1.464,123282000,,1.5484446666666667
2010-07-02,1.533333,1.54,1.247333,1.28,1.28,77097000,,1.4442223333333333
2010-07-06,1.333333,1.333333,1.055333,1.074,1.074,103003500,1.3998668,1.2726666666666666
2010-07-07,1.093333,1.108667,0.998667,1.053333,1.053333,103825500,1.2920000000000003,1.1357776666666668
2010-07-08,1.076,1.168,1.038,1.164,1.164,115671000,1.2070665999999999,1.097111
2010-07-09,1.172,1.193333,1.103333,1.16,1.16,60759000,1.1462666000000001,1.1257776666666668
2010-07-12,1.196667,1.204667,1.133333,1.136667,1.136667,33037500,1.1176,1.1535556666666666
2010-07-13,1.159333,1.242667,1.126667,1.209333,1.209333,40201500,1.1446666,1.1686666666666667
2010-07-14,1.196,1.343333,1.184,1.322667,1.322667,62928000,1.1985334,1.2228890000000001
2010-07-15,1.329333,1.433333,1.266667,1.326,1.326,56097000,1.2309334,1.2859999999999998
2010-07-16,1.38,1.42,1.336667,1.376,1.376,39319500,1.2741334,1.3415556666666666
2010-07-19,1.424667,1.483333,1.394667,1.460667,1.460667,37297500,1.3389334,1.3875556666666666
2010-07-20,1.456667,1.456667,1.336667,1.353333,1.353333,27379500,1.3677333999999999,1.3966666666666665
2010-07-21,1.377333,1.393333,1.3,1.348,1.348,18787500,1.3728,1.3873333333333333
2010-07-22,1.366667,1.416667,1.358,1.4,1.4,14367000,1.3876,1.3671109999999997
2010-07-23,1.412667,1.437333,1.404,1.419333,1.419333,9804000,1.3962666,1.389111
2010-07-26,1.433333,1.433333,1.353333,1.396667,1.396667,13833000,1.3834665999999998,1.4053333333333333
2010-07-27,1.394,1.412,1.350667,1.37,1.37,9295500,1.3868000000000003,1.3953333333333333
2010-07-28,1.37,1.393333,1.367333,1.381333,1.381333,7008000,1.3934666,1.3826666666666665
2010-07-29,1.384667,1.392,1.333333,1.356667,1.356667,9240000,1.3848,1.3693333333333335
2010-07-30,1.346667,1.362667,1.303333,1.329333,1.329333,6403500,1.3668,1.3557776666666665
2010-08-02,1.366667,1.398,1.355333,1.394667,1.394667,10771500,1.3664,1.3602223333333334
2010-08-03,1.4,1.463333,1.388,1.463333,1.463333,18457500,1.3850666,1.3957776666666668
2010-08-04,1.463333,1.478667,1.39,1.417333,1.417333,13695000,1.3922666,1.425111
2010-08-05,1.436,1.436667,1.336667,1.363333,1.363333,11943000,1.3935998,1.4146663333333331
2010-08-06,1.34,1.344,1.301333,1.306,1.306,11128500,1.3889331999999999,1.362222
2010-08-09,1.326667,1.332,1.296667,1.306667,1.306667,12190500,1.3713332,1.3253333333333333
2010-08-10,1.31,1.31,1.254667,1.268667,1.268667,19219500,1.3324000000000003,1.2937779999999999
2010-08-11,1.246,1.258667,1.19,1.193333,1.193333,11964000,1.2876,1.2562223333333333
2010-08-12,1.186667,1.193333,1.159333,1.173333,1.173333,10365000,1.2496,1.2117776666666666
2010-08-13,1.212,1.23,1.177333,1.221333,1.221333,9510000,1.2326666,1.1959996666666666
2010-08-16,1.23,1.253333,1.217333,1.252,1.252,7287000,1.2217332,1.2155553333333333
2010-08-17,1.264,1.293333,1.252,1.276667,1.276667,6718500,1.2233332000000001,1.25
2010-08-18,1.306,1.306,1.24,1.251333,1.251333,9019500,1.2349332,1.26
2010-08-19,1.236,1.283333,1.222,1.252667,1.252667,8686500,1.2508,1.2602223333333333
2010-08-20,1.243333,1.274,1.234,1.273333,1.273333,4440000,1.2612,1.259111
2010-08-23,1.272667,1.359333,1.266667,1.342,1.342,16321500,1.2792,1.2893333333333332
2010-08-24,1.283333,1.314,1.263333,1.28,1.28,10096500,1.2798666,1.2984443333333333
2010-08-25,1.277333,1.332,1.237333,1.326667,1.326667,7549500,1.2949334000000001,1.3162223333333334
2010-08-26,1.326,1.351333,1.306667,1.316667,1.316667,6507000,1.3077334,1.307778
2010-08-27,1.316667,1.324667,1.3,1.313333,1.313333,5694000,1.3157334000000003,1.3188890000000002
