Date,Open,High,Low,Close,Volume,Change,MA5,MA3
2006-06-29,38009,40510,37509,38510,119565,,,
2006-06-30,39610,40960,39010,40961,68951,0.06364580628408212,,
2006-07-03,41310,41710,39910,41461,20742,0.012206733234051859,,40310.666666666664
2006-07-04,41560,44311,41560,44011,27737,0.06150358167916847,,42144.333333333336
2006-07-05,42710,44011,42710,44011,18284,0.0,41790.8,43161.0
2006-07-06,44011,44811,43661,44411,22780,0.009088636931676275,42971.0,44144.333333333336
2006-07-07,45061,45911,44411,45812,29445,0.03154623854450467,43941.2,44744.666666666664
2006-07-10,44611,45861,44611,45762,13958,-0.0010914170959573921,44801.4,45328.333333333336
2006-07-11,45361,45711,44811,45512,20227,-0.0054630479437087764,45101.6,45695.333333333336
2006-07-12,44811,45111,43261,44511,19906,-0.021994199332044273,45201.6,45261.666666666664
2006-07-13,43811,44411,42160,43011,18178,-0.03369953494641775,44921.6,44344.666666666664
2006-07-14,42710,45861,41660,43061,9963,0.0011624933156635375,44371.4,43527.666666666664
2006-07-18,43011,43011,40510,40510,20868,-0.05924154106964541,43321.0,42194.0
2006-07-19,40160,41010,40160,40510,11919,0.0,42320.6,41360.333333333336
2006-07-20,40760,40910,40010,40811,12361,0.007430264132312958,41580.6,40610.333333333336
2006-07-21,40210,40710,39360,39410,11183,-0.03432897993188111,40860.4,40243.666666666664
2006-07-24,39410,40060,39410,40060,23297,0.016493275818320274,40260.2,40093.666666666664
2006-07-25,41460,41460,39810,40010,17459,-0.0012481278082875358,40160.2,39826.666666666664
2006-07-26,40010,40310,39510,39510,39637,-0.01249687578105474,39960.2,39860.0
2006-07-27,39960,40310,39810,39960,20455,0.011389521640091216,39790.0,39826.666666666664
2006-07-28,39960,40010,39460,40010,10743,0.0012512512512512508,39910.0,39826.666666666664
2006-07-31,40060,40260,39810,40110,9932,0.0024993751562110145,39920.0,40026.666666666664
2006-08-01,40110,40110,39810,40110,7077,0.0,39940.0,40076.666666666664
2006-08-02,40210,40310,39910,40210,6782,0.0024931438544004703,40080.0,40143.333333333336
2006-08-03,40810,40810,39510,40460,6803,0.006217358865953759,40180.0,40260.0
2006-08-04,40460,41110,40360,41111,16447,0.016089965397923844,40400.2,40593.666666666664
2006-08-07,41010,41210,40710,40961,4343,-0.0036486585098878255,40570.4,40844.0
2006-08-08,40560,41510,40560,41511,7183,0.013427406557457111,40850.6,41194.333333333336
2006-08-09,40510,41860,40510,41861,7046,0.008431500084314925,41180.8,41444.333333333336
2006-08-10,41560,41910,41260,41911,5033,0.0011944291822938435,41471.0,41761.0
2006-08-11,41910,42010,41210,41861,4544,-0.0011930042232349836,41621.0,41877.666666666664
2006-08-14,41910,41910,41410,41811,4609,-0.0011944291822937325,41791.0,41861.0
2006-08-16,41810,41860,41560,41561,6585,-0.005979287747243545,41801.0,41744.333333333336
2006-08-17,41110,41560,40510,41461,14130,-0.002406101874353306,41721.0,41611.0
2006-08-18,40910,41510,40560,40560,11315,-0.02173126552663951,41450.8,41194.0
2006-08-21,40510,40660,40110,40410,16482,-0.0036982248520710526,41160.6,40810.333333333336
2006-08-22,40410,41510,40160,40911,11435,0.012397921306607218,40980.6,40627.0
2006-08-23,40710,41810,40560,41461,8112,0.0134438170663147,40960.6,40927.333333333336
2006-08-24,41160,41510,41010,41211,8222,-0.006029762909722347,40910.6,41194.333333333336
2006-08-25,41510,41560,40760,41561,24952,0.008492878115066382,41110.8,41411.0
2006-08-28,41460,41610,41010,41611,7044,0.001203050937176764,41351.0,41461.0
2006-08-29,41510,41560,41160,41411,6569,-0.004806421378962256,41451.0,41527.666666666664
2006-08-30,41060,41710,41060,41661,8380,0.006037043297674627,41491.0,41561.0
